CLDI	PUB	loc	no	raw_translit	normalized_translit	annotations	transli_entities	entities
P421773	RSO 83, 345 15	@reverse	3	mu en-unu6-gal {d}inanna ba-hun	mu en-unu6-gal {d}inanna ba-hun		mu(year) en-unu6-gal {d}inanna ba-hun	ba-hun
P433583	RSO 83, 345 16	@reverse	4	mu en-unu6#-gal# {d}inanna unu{ki} ba-hun	mu en-unu6#-gal# {d}inanna unu{ki} ba-hun		mu(year) en-unu6#-gal# {d}inanna unu{ki} ba-hun	unu{ki}
P433584	RSO 83, 346 17	@left	1	7(disz) gu4 1(u) 6(disz)  udu	7(dic) gu4 1(u) 6(dic)  udu			
P433585	RSO 83, 346 18	@reverse	3	mu hu-uh2-nu-ri{ki} ba-hul	mu hu-uh2-nu-ri{ki} ba-hul		mu(year) hu-uh2-nu-ri{ki} ba-hul	
P433586	RSO 83, 346 19	@reverse	4	mu hu-uh2-nu-ri{ki} ba-hul	mu hu-uh2-nu-ri{ki} ba-hul		mu(year) hu-uh2-nu-ri{ki} ba-hul	
P433587	RSO 83, 346 20	@left	1	4(disz) gu4 3(u) 3(disz) udu	4(dic) gu4 3(u) 3(dic) udu			
P200028	Buried History 16-20/2	@left	5	mu {d}szu-{d}suen lugal	mu {d}cu-{d}suen lugal		mu(year) {d}szu-{d}suen lugal	{d}szu-{d}suen
P421775	RSO 83, 347 22	@seal 1	2	dumu la-na kuruszda	dumu la-na kurucda		dumu(year) la-na kuruszda	
P433589	RSO 83, 347 23	@reverse	5	mu us2-sa {d}szu-{d}suen lugal uri5{ki}-ma-ke4 bad3 [mar]-tu# mu-ri-iq-ti-id-ni-im mu-du3	mu us2-sa {d}cu-{d}suen lugal uri5{ki}-ma-ke4 bad3 [mar]-tu# mu-ri-iq-ti-id-ni-im mu-du3		mu(year) us2-sa {d}szu-{d}suen lugal uri5{ki}-ma-ke4 bad3 [mar]-tu# mu(year)-ri-iq-ti-id-ni-im mu(year)-du3	us2-sa
P433590	RSO 83, 347 24	@reverse	9	mu {d}i-bi2-{d}suen lugal	mu {d}i-bi2-{d}suen lugal		mu(year) {d}i-bi2-{d}suen lugal	{d}i-bi2-{d}suen
P128392	RT 37, 129 ab. 1	@reverse	3	mu us2-sa an-sza-an{ki} ba-hul	mu us2-sa an-ca-an{ki} ba-hul		mu(year) us2-sa an-sza-an{ki} ba-hul	
P128393	RT 37, 129 be. 5	@obverse	7	mu us2-sa si-mu-ru-um{ki} lu-lu-bu{ki} a-ra2 1(u) la2 1(disz)-kam-asz ba-hul	mu us2-sa si-mu-ru-um{ki} lu-lu-bu{ki} a-ra2 1(u) la2 1(dic)-kam-ac ba-hul		mu(year) us2-sa si-mu(year)-ru-um{ki} lu-lu-bu{ki} a-ra2 1(u) la2 1(disz)-kam-asz ba-hul	
P128394	RT 37, 129 mi. 4	@reverse	5	mu [si-mu-ru-um{ki}] lu-lu-bu{ki} a-ra2 [1(u) la2 1(disz)-kam-asz] ba-hul	mu [si-mu-ru-um{ki}] lu-lu-bu{ki} a-ra2 [1(u) la2 1(dic)-kam-ac] ba-hul		mu(year) [si-mu(year)-ru-um{ki}] lu-lu-bu{ki} a-ra2 [1(u) la2 1(disz)-kam-asz] ba-hul	
P128395	RT 37, 129 ml 2	@reverse	6	mu us2-sa e2 puzur4#-isz-{d}da-gan ba-du3	mu us2-sa e2 puzur4#-ic-{d}da-gan ba-du3		mu(year) us2-sa e2 puzur4#-isz-{d}da-gan ba-du3	
P128396	RT 37, 129 mr 3	@obverse	9	mu us2-sa e2 puzur4-isz-{d}da-gan ba-du3	mu us2-sa e2 puzur4-ic-{d}da-gan ba-du3		mu(year) us2-sa e2 puzur4-isz-{d}da-gan ba-du3	
P128397	RT 37, 130 ab. 6	@reverse	5	mu si-mu-ru-um{ki} lu-lu-bu{ki} a-ra2 1(u)! la2 1(disz)-kam-asz ba-hul	mu si-mu-ru-um{ki} lu-lu-bu{ki} a-ra2 1(u)! la2 1(dic)-kam-ac ba-hul		mu(year) si-mu(year)-ru-um{ki} lu-lu-bu{ki} a-ra2 1(u)! la2 1(disz)-kam-asz ba-hul	
P128398	RT 37, 130 be. 9	@obverse	2	mu a-ra2 3(disz)-kam-asz si-mu-ru-um{ki} ba-hul	mu a-ra2 3(dic)-kam-ac si-mu-ru-um{ki} ba-hul		mu(year) a-ra2 3(disz)-kam-asz si-mu(year)-ru-um{ki} ba-hul	
P128399	RT 37, 130 mi. 7	@reverse	4	mu ur-bi2-lum{ki} ba-hul	mu ur-bi2-lum{ki} ba-hul		mu(year) ur-bi2-lum{ki} ba-hul	ur-bi2-lum{ki}
P128400	RT 37, 130 Mi. 8	@column 2	4	sukkal ARAD2-zu	sukkal ARAD2-zu			
P128401	RT 37, 134	@reverse	5	mu en {d}nanna ba-hun	mu en {d}nanna ba-hun		mu(year) en {d}nanna ba-hun	ba-hun
P128407	RT 37, 136 l	@obverse	8	mu en-ubur-zi-an-na en {d}nanna masz-e i3-pa3	mu en-ubur-zi-an-na en {d}nanna mac-e i3-pa3		mu(year) en-ubur-zi-an-na en {d}nanna masz-e i3-pa3	masz-e
P128408	RT 37, 136 r	@obverse	11	[mu] en-ubur-zi-[an-na en] {d}nanna [masz]-e i3-pa3	[mu] en-ubur-zi-[an-na en] {d}nanna [mac]-e i3-pa3		[mu(year)] en-ubur-zi-[an-na en] {d}nanna [masz]-e i3-pa3	[masz]-e
P128616	SA 001	@reverse	6	mu sza-asz-ru{ki} ba-hul	mu ca-ac-ru{ki} ba-hul		mu(year) sza-asz-ru{ki} ba-hul	sza-asz-ru{ki}
P128609	SA 001a	@reverse	4	mu a-ra2 3(disz)-kam-asz si-mu-ru-um{ki} ba-hul-a mu us2-sa-bi	mu a-ra2 3(dic)-kam-ac si-mu-ru-um{ki} ba-hul-a mu us2-sa-bi		mu(year) a-ra2 3(disz)-kam-asz si-mu(year)-ru-um{ki} ba-hul-a mu(year) us2-sa-bi	ba-hul-a
P128615	SA 001b	@reverse	4	mu# ur-bi2-lum ba-hul	mu# ur-bi2-lum ba-hul		mu(year)# ur-bi2-lum ba-hul	ur-bi2-lum
P128617	SA 001c	@reverse	7	mu ki-masz{ki} u3 hu-ur5-ti{ki} ba-hul	mu ki-mac{ki} u3 hu-ur5-ti{ki} ba-hul		mu(year) ki-masz{ki} u3 hu-ur5-ti{ki} ba-hul	hu-ur5-ti{ki}
P128618	SA 001d	@left	1	5(disz)	5(dic)			
P128619	SA 001e	@reverse	9	mu [ha-ar]-szi{ki} ki-masz[{ki}] hu-ur5-ti{ki} u3 ma-da-[bi u4 asz-a ba]-hul	mu [ha-ar]-ci{ki} ki-mac[{ki}] hu-ur5-ti{ki} u3 ma-da-[bi u4 ac-a ba]-hul		mu(year) [ha-ar]-szi{ki} ki-masz[{ki}] hu-ur5-ti{ki} u3 ma-da-[bi u4 asz-a ba]-hul	ma-da-[bi
P128590	SA 002	@reverse	7	mu en-unu6-gal {d}inanna ba-[hun]	mu en-unu6-gal {d}inanna ba-[hun]		mu(year) en-unu6-gal {d}inanna ba-[hun]	ba-[hun]
P128632	SA 003	@reverse	5	mu {d}szu-{d}suen lugal	mu {d}cu-{d}suen lugal		mu(year) {d}szu-{d}suen lugal	{d}szu-{d}suen
P128642	SA 004	@left	1	1(disz) gu4 1(u) udu	1(dic) gu4 1(u) udu			
P128623	SA 005	@reverse	5	mu us2-sa {d}szu-{d}suen lugal uri5{ki}-ma-ke4 si-ma-num2{ki} mu-hul	mu us2-sa {d}cu-{d}suen lugal uri5{ki}-ma-ke4 si-ma-num2{ki} mu-hul		mu(year) us2-sa {d}szu-{d}suen lugal uri5{ki}-ma-ke4 si-ma-num2{ki} mu(year)-hul	si-ma-num2{ki}
P128596	SA 006	@left	1	1(u) la2 1(disz@t)	1(u) la2 1(dic@t)			
P128591	SA 007	@left	1	1(u) la2 1(disz@t)	1(u) la2 1(dic@t)			
P128588	SA 008a	@left	1	1(disz)	1(dic)			
P128640	SA 008c	@left	1	2(disz) gu4 8(disz) [udu]	2(dic) gu4 8(dic) [udu]			
P128612	SA 010	@left	1	3(disz) udu	3(dic) udu			
P128606	SA 011	@left	1	6(disz)	6(dic)			
P128597	SA 012	@left	1	3(u) 6(disz)	3(u) 6(dic)			
P128633	SA 013	@left	1	1(u)	1(u)			
P128637	SA 014	@left	1	4(disz)	4(dic)			
P128598	SA 015	@reverse	5	mu en {d}nanna ba-hun	mu en {d}nanna ba-hun		mu(year) en {d}nanna ba-hun	ba-hun
P128629	SA 016	@left	1	7(disz) udu	7(dic) udu			
P128600	SA 017	@left	1	3(disz)	3(dic)			
P128611	SA 018	@reverse	7	mu en {d}nanna masz-e i3-pa3	mu en {d}nanna mac-e i3-pa3		mu(year) en {d}nanna masz-e i3-pa3	masz-e
P128602	SA 019	@left	1	1(disz)	1(dic)			
P128626	SA 020	@left	1	2(disz)	2(dic)			
P128628	SA 021	@reverse	6	mu us2-sa ur-bi2-lum{ki} ba-hul	mu us2-sa ur-bi2-lum{ki} ba-hul		mu(year) us2-sa ur-bi2-lum{ki} ba-hul	us2-sa
P128620	SA 022	@reverse	4	mu ki-masz{ki} u3 hu-ur5-ti{ki} ba-hul	mu ki-mac{ki} u3 hu-ur5-ti{ki} ba-hul		mu(year) ki-masz{ki} u3 hu-ur5-ti{ki} ba-hul	hu-ur5-ti{ki}
P128624	SA 023	@left	1	4(disz)	4(dic)			
P128608	SA 024	@left	1	1(u)	1(u)			
P128603	SA 025	@left	1	2(disz) udu	2(dic) udu			
P128613	SA 026	@left	1	2(disz) gu4 1(disz) udu	2(dic) gu4 1(dic) udu			
P128641	SA 027	@left	1	1(gesz2) 3(u) 2(disz)	1(gec2) 3(u) 2(dic)			
P128610	SA 028	@reverse	6	mu en {d}inanna unu{ki} ba-hun	mu en {d}inanna unu{ki} ba-hun		mu(year) en {d}inanna unu{ki} ba-hun	unu{ki}
P128621	SA 029	@reverse	2	mu si-mu-ru-um{ki} u3# lu-lu-bu-um{ki} a-ra2 1(u) la2 1(disz@t)-kam ba!-hul	mu si-mu-ru-um{ki} u3# lu-lu-bu-um{ki} a-ra2 1(u) la2 1(dic@t)-kam ba!-hul		mu(year) si-mu(year)-ru-um{ki} u3# lu-lu-bu-um{ki} a-ra2 1(u) la2 1(disz@t)-kam ba!-hul	
P128625	SA 030	@reverse	9	mu ur-bi2-lum{ki} ba-hul	mu ur-bi2-lum{ki} ba-hul		mu(year) ur-bi2-lum{ki} ba-hul	ur-bi2-lum{ki}
P128595	SA 031	@left	1	3(disz)	3(dic)			
P128599	SA 032	@left	1	5(disz)	5(dic)			
P128585	SA 033	@left	1	1(disz) gu4 9(disz) udu	1(dic) gu4 9(dic) udu			
P128636	SA 034	@left	1	1(disz) gu4 5(disz) udu	1(dic) gu4 5(dic) udu			
P128638	SA 035	@reverse	14	mu en-unu6-gal {d}inanna ba-hun	mu en-unu6-gal {d}inanna ba-hun		mu(year) en-unu6-gal {d}inanna ba-hun	ba-hun
P128614	SA 036	@left	1	1(disz) gu4 4(disz) udu	1(dic) gu4 4(dic) udu			
P128601	SA 037	@left	1	5(u) 7(disz) gu4	5(u) 7(dic) gu4			
P128607	SA 038	@left	1	1(disz) gu4 4(u) 5(disz) udu	1(dic) gu4 4(u) 5(dic) udu			
P128631	SA 039	@left	1	u4 6(disz)-kam	u4 6(dic)-kam			
P128634	SA 040	@left	1	1(disz)	1(dic)			
P128593	SA 041	@reverse	3	mu us2-sa ki-masz{ki} ba-hul	mu us2-sa ki-mac{ki} ba-hul		mu(year) us2-sa ki-masz{ki} ba-hul	
P128592	SA 044	@reverse	6	mu en-mah-gal-an-na en {d}nanna ba-hun	mu en-mah-gal-an-na en {d}nanna ba-hun		mu(year) en-mah-gal-an-na en {d}nanna ba-hun	
P128587	SA 045	@reverse	5	mu sza-asz-ru{ki} ba-hul	mu ca-ac-ru{ki} ba-hul		mu(year) sza-asz-ru{ki} ba-hul	sza-asz-ru{ki}
P128594	SA 046	@reverse	1	mu en-unu6-gal {d}inanna ba-hun	mu en-unu6-gal {d}inanna ba-hun		mu(year) en-unu6-gal {d}inanna ba-hun	ba-hun
P128604	SA 047	@reverse	5	mu us2-sa gu-za ba-dim2	mu us2-sa gu-za ba-dim2		mu(year) us2-sa gu-za ba-dim2	
P128586	SA 048a	@left	1	2(disz) gu4 1(u) 8(disz) [udu]	2(dic) gu4 1(u) 8(dic) [udu]			
P128589	SA 049	@reverse	3	mu us2-sa ki-[masz{ki} ba-hul]	mu us2-sa ki-[mac{ki} ba-hul]		mu(year) us2-sa ki-[masz{ki} ba-hul]	
P128662	SA 050	@reverse	4	mu si-ma-num2{ki} ba#-hul	mu si-ma-num2{ki} ba#-hul		mu(year) si-ma-num2{ki} ba#-hul	si-ma-num2{ki}
P128644	SA 057	@reverse	7	mu en-nun-e-{d}amar-{d}suen#-[ra-ki-ag2] en eridu{ki} ba-[hun]	mu en-nun-e-{d}amar-{d}suen#-[ra-ki-ag2] en eridu{ki} ba-[hun]		mu(year) en-nun-e-{d}amar-{d}suen#-[ra-ki-ag2] en eridu{ki} ba-[hun]	
P128649	SA 085	@column 2	15	[mu {d}szu-{d}suen lugal-e na-ru2-a-mah {d}en-lil2 u3 {d}nin-lil2-ra mu-du3]	[mu {d}cu-{d}suen lugal-e na-ru2-a-mah {d}en-lil2 u3 {d}nin-lil2-ra mu-du3]		[mu(year) {d}szu-{d}suen lugal-e na-ru2-a-mah {d}en-lil2 u3 {d}nin-lil2-ra mu(year)-du3]	{d}en-lil2
P128743	SA 154	@column 2	6	ARAD2-zu	ARAD2-zu			
P128758	SACT 1, 001	@left	1	u4 1(u) 2(disz)-kam	u4 1(u) 2(dic)-kam			
P128759	SACT 1, 002	@left	1	u4 4(disz)-kam	u4 4(dic)-kam			
P128760	SACT 1, 003	@left	1	u4 2(u) 4(disz)-kam	u4 2(u) 4(dic)-kam			
P128761	SACT 1, 004	@left	1	u4 1(u) 2(disz)-kam	u4 1(u) 2(dic)-kam			
P128762	SACT 1, 005	@left	1	u4 1(u) 5(disz)-kam	u4 1(u) 5(dic)-kam			
P128763	SACT 1, 006	@left	1	u4 2(u) 6(disz)-kam	u4 2(u) 6(dic)-kam			
P128764	SACT 1, 007	@left	1	u4 2(u) 7(disz)-kam	u4 2(u) 7(dic)-kam			
P128765	SACT 1, 008	@reverse	3	mu si-mu-ru-um{ki} u3 lu-lu-bu-um[{ki} a-ra2 1(u) la2 1(disz)-kam ba-hul]	mu si-mu-ru-um{ki} u3 lu-lu-bu-um[{ki} a-ra2 1(u) la2 1(dic)-kam ba-hul]		mu(year) si-mu(year)-ru-um{ki} u3 lu-lu-bu-um[{ki} a-ra2 1(u) la2 1(disz)-kam ba-hul]	
